WKT,name,description
"POINT (-79.99926719999999 40.43868959999999)",Zipcar,
"POINT (-79.9524014 40.4640436)",Zipcar,
"POINT (-79.9165142 40.4576502)",Zipcar,
"POINT (-79.9224177 40.4325169)",Zipcar,
"POINT (-79.9322761 40.4604655)",Zipcar,
"POINT (-79.95519159999999 40.4426523)",Zipcar,
"POINT (-79.9409151 40.4441012)",Zipcar,
"POINT (-79.9890149 40.4378622)",Zipcar,
"POINT (-79.9323898 40.4519394)",Zipcar,
"POINT (-79.9986661 40.43879949999999)",Zipcar,
"POINT (-79.9580026 40.44422)",Zipcar,
"POINT (-79.9322761 40.4604655)",Zipcar,
"POINT (-79.9578525 40.4411049)",Zipcar,
